#,Team,M,W,D,L,Goals,Diff,Pts
1,Liverpool FC,15,9,5,1,37:20,17,32
2,Manchester United,15,9,3,3,31:23,8,30
3,Manchester City,15,8,5,2,23:12,11,29
4,Everton FC,15,9,2,4,26:19,7,29
5,Aston Villa,15,9,1,5,29:15,14,28
6,Leicester City,15,9,1,5,28:19,9,28
7,Tottenham Hotspur,15,7,5,3,26:15,11,26
8,Chelsea FC,15,7,4,4,30:17,13,25
9,Southampton FC,15,7,4,4,25:19,6,25
10,West Ham United,15,6,4,5,23:21,2,22
11,Wolverhampton Wanderers,15,6,3,6,15:20,-5,21
12,Leeds United,15,6,2,7,25:30,-5,20
13,Crystal Palace,15,5,3,7,19:28,-9,18
14,Newcastle United,15,5,3,7,17:26,-9,18
15,Arsenal FC,15,5,2,8,15:19,-4,17
16,Brighton & Hove Albion,15,2,7,6,18:24,-6,13
17,Burnley FC,15,3,4,8,8:21,-13,13
18,Fulham FC,15,2,5,8,13:23,-10,11
19,West Bromwich Albion,15,1,5,9,11:30,-19,8
20,Sheffield United,15,0,2,13,8:26,-18,2
