#,Team,M,W,D,L,Goals,Diff,Pts
1,Chelsea FC,7,6,1,0,15:4,11,19
2,Manchester United,7,5,0,2,17:9,8,15
3,Manchester City,7,4,3,0,15:8,7,15
4,Everton FC,7,4,2,1,14:8,6,14
5,Tottenham Hotspur,7,4,2,1,13:8,5,14
6,West Bromwich Albion,7,4,2,1,11:7,4,14
7,Arsenal FC,7,3,3,1,13:5,8,12
8,West Ham United,7,3,2,2,8:8,0,11
9,Fulham FC,7,3,1,3,15:11,4,10
10,Sunderland AFC,7,2,4,1,8:7,1,10
11,Newcastle United,7,2,3,2,8:11,-3,9
12,Swansea City,7,2,2,3,12:11,1,8
13,Stoke City,7,1,5,1,6:5,1,8
14,Liverpool FC,7,1,3,3,9:12,-3,6
15,Wigan Athletic,7,1,2,4,7:13,-6,5
16,Aston Villa,7,1,2,4,6:12,-6,5
17,Southampton FC,7,1,1,5,12:20,-8,4
18,Reading FC,7,0,3,4,8:16,-8,3
19,Norwich City,7,0,3,4,5:17,-12,3
20,Queens Park Rangers,7,0,2,5,6:16,-10,2
