#,Team,M,W,D,L,Goals,Diff,Pts
1,Manchester City,34,29,3,2,96:26,70,90
2,Manchester United,34,22,6,6,63:26,37,72
3,Liverpool FC,34,20,10,4,78:35,43,70
4,Tottenham Hotspur,34,21,7,6,66:30,36,70
5,Chelsea FC,34,19,6,9,59:34,25,63
6,Arsenal FC,34,16,6,12,63:48,15,54
7,Burnley FC,34,14,10,10,34:31,3,52
8,Leicester City,34,12,10,12,52:48,4,46
9,Everton FC,34,11,9,14,39:54,-15,42
10,Newcastle United,34,11,8,15,35:43,-8,41
11,AFC Bournemouth,34,9,11,14,41:56,-15,38
12,Watford FC,34,10,7,17,42:60,-18,37
13,West Ham United,34,8,12,14,41:59,-18,36
14,Brighton & Hove Albion,34,8,11,15,32:49,-17,35
15,Huddersfield Town,34,9,8,17,27:54,-27,35
16,Crystal Palace,34,8,10,16,36:54,-18,34
17,Swansea City,34,8,9,17,27:47,-20,33
18,Southampton FC,34,6,13,15,34:53,-19,31
19,Stoke City,34,6,10,18,31:64,-33,28
20,West Bromwich Albion,34,4,12,18,27:52,-25,24
