#,Team,M,W,D,L,Goals,Diff,Pts
1,Liverpool FC,30,27,2,1,66:21,45,83
2,Manchester City,30,20,3,7,76:31,45,63
3,Leicester City,30,16,6,8,59:29,30,54
4,Chelsea FC,30,15,6,9,53:40,13,51
5,Manchester United,30,12,10,8,45:31,14,46
6,Wolverhampton Wanderers,30,11,13,6,43:34,9,46
7,Sheffield United,30,11,11,8,30:28,2,44
8,Tottenham Hotspur,30,11,9,10,48:41,7,42
9,Crystal Palace,30,11,9,10,28:32,-4,42
10,Arsenal FC,30,9,13,8,41:41,0,40
11,Burnley FC,30,11,6,13,34:45,-11,39
12,Everton FC,30,10,8,12,37:46,-9,38
13,Newcastle United,30,10,8,12,28:41,-13,38
14,Southampton FC,30,11,4,15,38:52,-14,37
15,Brighton & Hove Albion,30,7,11,12,34:41,-7,32
16,Watford FC,30,6,10,14,28:45,-17,28
17,West Ham United,30,7,6,17,35:52,-17,27
18,AFC Bournemouth,30,7,6,17,29:49,-20,27
19,Aston Villa,30,7,5,18,35:58,-23,26
20,Norwich City,30,5,6,19,25:55,-30,21
