#,Team,M,W,D,L,Goals,Diff,Pts
1,Liverpool FC,20,19,1,0,49:14,35,58
2,Leicester City,20,13,3,4,43:19,24,42
3,Manchester City,20,13,2,5,54:23,31,41
4,Chelsea FC,20,11,2,7,35:28,7,35
5,Manchester United,20,8,7,5,32:23,9,31
6,Tottenham Hotspur,20,8,6,6,36:29,7,30
7,Wolverhampton Wanderers,20,7,9,4,29:25,4,30
8,Sheffield United,20,7,8,5,23:19,4,29
9,Crystal Palace,20,7,6,7,18:22,-4,27
10,Everton FC,20,7,4,9,23:30,-7,25
11,Newcastle United,20,7,4,9,20:30,-10,25
12,Arsenal FC,20,5,9,6,26:30,-4,24
13,Burnley FC,20,7,3,10,23:32,-9,24
14,Brighton & Hove Albion,20,6,5,9,24:28,-4,23
15,Southampton FC,20,6,4,10,24:38,-14,22
16,AFC Bournemouth,20,5,5,10,20:28,-8,20
17,West Ham United,20,5,4,11,21:34,-13,19
18,Aston Villa,20,5,3,12,25:36,-11,18
19,Watford FC,20,3,7,10,15:33,-18,16
20,Norwich City,20,3,4,13,21:40,-19,13
