#,Team,M,W,D,L,Goals,Diff,Pts
1,Manchester City,2,2,0,0,6:0,6,6
2,Leicester City,2,2,0,0,6:3,3,6
3,Liverpool FC,2,2,0,0,2:0,2,6
3,Manchester United,2,2,0,0,2:0,2,6
5,Everton FC,2,1,1,0,5:2,3,4
6,Swansea City,2,1,1,0,4:2,2,4
7,Crystal Palace,2,1,0,1,4:3,1,3
8,West Ham United,2,1,0,1,3:2,1,3
9,Norwich City,2,1,0,1,4:4,0,3
10,Aston Villa,2,1,0,1,1:1,0,3
11,Arsenal FC,2,1,0,1,2:3,-1,3
12,Watford FC,2,0,2,0,2:2,0,2
13,Stoke City,2,0,1,1,2:3,-1,1
13,Tottenham Hotspur,2,0,1,1,2:3,-1,1
15,Newcastle United,2,0,1,1,2:4,-2,1
16,Chelsea FC,2,0,1,1,2:5,-3,1
16,Southampton FC,2,0,1,1,2:5,-3,1
18,West Bromwich Albion,2,0,1,1,0:3,-3,1
19,AFC Bournemouth,2,0,0,2,0:2,-2,0
20,Sunderland AFC,2,0,0,2,3:7,-4,0
