#,Team,M,W,D,L,Goals,Diff,Pts
1,Manchester City,3,3,0,0,8:0,8,9
2,Leicester City,3,2,1,0,7:4,3,7
3,Liverpool FC,3,2,1,0,2:0,2,7
&nbsp;,Manchester United,3,2,1,0,2:0,2,7
5,Crystal Palace,3,2,0,1,6:4,2,6
6,Swansea City,3,1,2,0,5:3,2,5
7,Everton FC,3,1,1,1,5:4,1,4
8,Norwich City,3,1,1,1,5:5,0,4
9,Arsenal FC,3,1,1,1,2:3,-1,4
10,Chelsea FC,3,1,1,1,5:7,-2,4
11,West Ham United,3,1,0,2,6:6,0,3
12,Watford FC,3,0,3,0,2:2,0,3
13,AFC Bournemouth,3,1,0,2,4:5,-1,3
14,Aston Villa,3,1,0,2,2:3,-1,3
15,Stoke City,3,0,2,1,3:4,-1,2
&nbsp;,Tottenham Hotspur,3,0,2,1,3:4,-1,2
17,Newcastle United,3,0,2,1,2:4,-2,2
18,Southampton FC,3,0,2,1,2:5,-3,2
19,Sunderland AFC,3,0,1,2,4:8,-4,1
20,West Bromwich Albion,3,0,1,2,2:6,-4,1
