#,Team,M,W,D,L,Goals,Diff,Pts
1,Manchester City,18,14,3,1,53:15,38,45
2,Manchester United,18,14,3,1,47:14,33,45
3,Tottenham Hotspur,18,13,2,3,36:19,17,41
4,Chelsea FC,18,10,4,4,36:21,15,34
5,Arsenal FC,18,10,3,5,34:26,8,33
6,Liverpool FC,18,8,7,3,21:14,7,31
7,Newcastle United,18,8,6,4,25:22,3,30
8,Stoke City,18,7,4,7,18:28,-10,25
9,West Bromwich Albion,18,6,4,8,19:26,-7,22
10,Everton FC,18,6,3,9,18:22,-4,21
11,Norwich City,18,5,6,7,27:33,-6,21
12,Aston Villa,18,4,8,6,19:23,-4,20
13,Fulham FC,18,4,7,7,19:24,-5,19
14,Swansea City,18,4,7,7,17:22,-5,19
15,Sunderland AFC,18,4,6,8,22:22,0,18
16,Queens Park Rangers,18,4,5,9,18:32,-14,17
17,Wolverhampton Wanderers,18,4,4,10,20:33,-13,16
18,Wigan Athletic,18,3,5,10,15:35,-20,14
19,Bolton Wanderers,18,4,0,14,22:41,-19,12
20,Blackburn Rovers,18,2,5,11,25:39,-14,11
