#,Team,M,W,D,L,Goals,Diff,Pts
1,Manchester United,7,6,1,0,24:5,19,19
2,Manchester City,7,6,1,0,23:5,18,19
3,Chelsea FC,7,5,1,1,17:8,9,16
4,Newcastle United,7,4,3,0,9:4,5,15
5,Tottenham Hotspur,7,5,0,2,13:10,3,15
6,Liverpool FC,7,4,1,2,10:8,2,13
7,Aston Villa,7,2,5,0,9:5,4,11
8,Stoke City,7,2,3,2,4:8,-4,9
9,Norwich City,7,2,2,3,7:10,-3,8
10,Swansea City,7,2,2,3,6:9,-3,8
11,Queens Park Rangers,7,2,2,3,5:13,-8,8
12,Fulham FC,7,1,4,2,10:7,3,7
13,Everton FC,7,2,1,4,6:10,-4,7
&nbsp;,Wolverhampton Wanderers,7,2,1,4,6:10,-4,7
15,Arsenal FC,7,2,1,4,10:16,-6,7
16,Sunderland AFC,7,1,3,3,9:8,1,6
17,West Bromwich Albion,7,1,2,4,5:10,-5,5
18,Wigan Athletic,7,1,2,4,5:11,-6,5
19,Blackburn Rovers,7,1,1,5,8:17,-9,4
20,Bolton Wanderers,7,1,0,6,9:21,-12,3
