#,Team,M,W,D,L,Goals,Diff,Pts
1,Manchester City,26,20,3,3,67:19,48,63
2,Manchester United,26,19,4,3,63:26,37,61
3,Tottenham Hotspur,26,16,5,5,51:30,21,53
4,Arsenal FC,26,14,4,8,53:37,16,46
5,Chelsea FC,26,13,7,6,47:31,16,46
6,Newcastle United,26,12,7,7,38:38,0,43
7,Liverpool FC,26,11,9,6,32:23,9,42
8,Norwich City,26,9,8,9,38:43,-5,35
9,Sunderland AFC,26,9,6,11,34:30,4,33
10,Fulham FC,26,8,9,9,32:36,-4,33
11,Everton FC,26,9,6,11,26:30,-4,33
12,Stoke City,26,9,6,11,26:38,-12,33
13,West Bromwich Albion,26,9,5,12,33:35,-2,32
14,Swansea City,26,7,9,10,28:34,-6,30
15,Aston Villa,26,6,11,9,29:34,-5,29
16,Wolverhampton Wanderers,26,5,7,14,30:51,-21,22
17,Queens Park Rangers,26,5,6,15,27:45,-18,21
18,Blackburn Rovers,26,5,6,15,37:59,-22,21
19,Bolton Wanderers,26,6,2,18,29:54,-25,20
20,Wigan Athletic,26,4,8,14,23:50,-27,20
